panel,x,sorted,random,maxwellian
a_density,-1.525000,7.330961767e-06,0.1248050112,0.1247116467
a_density,-1.475000,2.443653922e-06,0.1351034939,0.1344247074
a_density,-1.425000,9.77461569e-06,0.1452213014,0.1445324783
a_density,-1.375000,7.330961767e-06,0.155322018,0.1550122655
a_density,-1.325000,1.221826961e-05,0.165723046,0.1658368122
a_density,-1.275000,2.443653922e-06,0.176778411,0.1769742507
a_density,-1.225000,7.330961767e-06,0.1879534122,0.1883881093
a_density,-1.175000,2.443653922e-06,0.1994702312,0.2000373793
a_density,-1.125000,4.887307845e-06,0.2124739578,0.2118766458
a_density,-1.075000,4.887307845e-06,0.2237978939,0.2238562816
a_density,-1.025000,9.77461569e-06,0.2361570497,0.2359227087
a_density,-0.975000,1.221826961e-05,0.2485650366,0.2480187246
a_density,-0.925000,2.443653922e-06,0.2595398302,0.2600838934
a_density,-0.875000,7.330961767e-06,0.2713496359,0.2720549984
a_density,-0.825000,9.77461569e-06,0.2845462454,0.2838665535
a_density,-0.775000,9.77461569e-06,0.2952378185,0.2954513673
a_density,-0.725000,7.330961767e-06,0.3052286651,0.3067411541
a_density,-0.675000,4.887307845e-06,0.3166673544,0.3176671847
a_density,-0.625000,2.443653922e-06,0.3272588237,0.3281609686
a_density,-0.575000,0,0.33784541,0.3381549579
a_density,-0.525000,7.330961767e-06,0.3481023862,0.3475832643
a_density,-0.475000,4.887307845e-06,0.3558250274,0.3563823765
a_density,-0.425000,7.330961767e-06,0.3632400325,0.3644918697
a_density,-0.375000,2.443653922e-06,0.3716658418,0.3718550939
a_density,-0.325000,0,0.3782995491,0.3784198319
a_density,-0.275000,4.887307845e-06,0.3826772588,0.3841389153
a_density,-0.225000,7.330961767e-06,0.3884368891,0.388970788
a_density,-0.175000,7.330961767e-06,0.3925484692,0.3928800094
a_density,-0.125000,2.932384707e-05,0.3964110105,0.3958376869
a_density,-0.075000,0.00069155406,0.3996753707,0.3978218316
a_density,-0.025000,3.112254741,0.3999781237,0.3988176304
a_density,0.025000,16.88520386,0.3990430078,0.3988176304
a_density,0.075000,0.0006695611747,0.3984570344,0.3978218316
a_density,0.125000,5.864769414e-05,0.3960936083,0.3958376869
a_density,0.175000,1.221826961e-05,0.3933908059,0.3928800094
a_density,0.225000,9.77461569e-06,0.3897846279,0.388970788
a_density,0.275000,7.330961767e-06,0.3838272316,0.3841389153
a_density,0.325000,4.887307845e-06,0.3788513407,0.3784198319
a_density,0.375000,7.330961767e-06,0.3719612701,0.3718550939
a_density,0.425000,4.887307845e-06,0.3653397706,0.3644918697
a_density,0.475000,4.887307845e-06,0.3561814945,0.3563823765
a_density,0.525000,7.330961767e-06,0.3465812969,0.3475832643
a_density,0.575000,7.330961767e-06,0.3367662423,0.3381549579
a_density,0.625000,0,0.3275151871,0.3281609686
a_density,0.675000,2.443653922e-06,0.3185107291,0.3176671847
a_density,0.725000,2.443653922e-06,0.3062223784,0.3067411541
a_density,0.775000,2.443653922e-06,0.2963462849,0.2954513673
a_density,0.825000,1.221826961e-05,0.2851004786,0.2838665535
a_density,0.875000,2.443653922e-06,0.2719527002,0.2720549984
a_density,0.925000,1.221826961e-05,0.259442168,0.2600838934
a_density,0.975000,7.330961767e-06,0.2486334001,0.2480187246
a_density,1.025000,7.330961767e-06,0.236303543,0.2359227087
a_density,1.075000,7.330961767e-06,0.2233193489,0.2238562816
a_density,1.125000,4.887307845e-06,0.2119270492,0.2118766458
a_density,1.175000,4.887307845e-06,0.2018385404,0.2000373793
a_density,1.225000,1.221826961e-05,0.1884685805,0.1883881093
a_density,1.275000,2.443653922e-06,0.1756064642,0.1769742507
a_density,1.325000,7.330961767e-06,0.164914891,0.1658368122
a_density,1.375000,7.330961767e-06,0.1552097065,0.1550122655
a_density,1.425000,2.443653922e-06,0.1439223937,0.1445324783
a_density,1.475000,7.330961767e-06,0.1351327926,0.1344247074
a_density,1.525000,4.887307845e-06,0.1242361287,0.1247116467
a_density,1.575000,2.443653922e-06,0.1154660601,0.1154115281
a_density,1.625000,9.77461569e-06,0.1062101218,0.1065382681
a_density,1.675000,9.77461569e-06,0.09869012969,0.09810165586
a_density,1.725000,9.77461569e-06,0.09041081375,0.09010757603
a_density,1.775000,1.221826961e-05,0.08248796496,0.08255826164
a_density,1.825000,2.443653922e-06,0.07565160853,0.07545256991
a_density,1.875000,4.887307845e-06,0.0686052783,0.06878627583
a_density,1.925000,7.330961767e-06,0.06237931084,0.0625523775
a_density,1.975000,9.77461569e-06,0.05625588873,0.0567414081
a_density,2.025000,2.443653922e-06,0.05145090678,0.0513417492
a_density,2.075000,1.710557746e-05,0.04651408082,0.046339941
a_density,2.125000,7.330961767e-06,0.04147959262,0.04172098526
a_density,2.175000,4.887307845e-06,0.03730209053,0.03746863735
a_density,2.225000,7.330961767e-06,0.03320027668,0.03356568434
a_density,2.275000,2.443653922e-06,0.03003846183,0.02999420648
a_density,2.325000,4.887307845e-06,0.02684490676,0.02673582017
a_density,2.375000,4.887307845e-06,0.0238271437,0.02377190083
a_density,2.425000,9.77461569e-06,0.02130013338,0.02108378467
a_density,2.475000,4.887307845e-06,0.01850455191,0.01865294879
a_density,2.525000,9.77461569e-06,0.01640969698,0.01646116953
a_density,2.575000,7.330961767e-06,0.01457853008,0.01449065916
a_density,2.625000,4.887307845e-06,0.0127961943,0.0127241816
a_density,2.675000,7.330961767e-06,0.01139718279,0.01114514799
a_density,2.725000,9.77461569e-06,0.00971739235,0.009737693141
a_density,2.775000,4.887307845e-06,0.008374536623,0.008486734062
a_density,2.825000,9.77461569e-06,0.007759264545,0.007378012149
a_density,2.875000,4.887307845e-06,0.006418850374,0.006398120311
a_density,2.925000,7.330961767e-06,0.005515474703,0.005534516703
a_density,2.975000,7.330961767e-06,0.004900202625,0.004775526577
a_density,3.025000,7.330961767e-06,0.004150644974,0.004110333817
a_density,3.075000,1.221826961e-05,0.003425502881,0.003528963655
a_density,3.125000,1.466192353e-05,0.00304217861,0.003022258035
a_density,3.175000,1.466192353e-05,0.002429348087,0.002581844964
a_density,3.225000,4.887307845e-06,0.002241348286,0.00220010315
a_density,3.275000,7.330961767e-06,0.001899530464,0.001870123078
a_density,3.325000,1.221826961e-05,0.001767686448,0.001585665584
a_density,3.375000,1.221826961e-05,0.001330647947,0.001341118873
a_density,3.425000,4.887307845e-06,0.001125557255,0.001131454808
