law,description,N,seed_index,m4,m4_pred,m4_pct,m6,m6_pred,m6_pct,tail,e_below_top,maxv_ratio
L2_arc_eps0.30,uniform on an arc of length pi/2+0.30,256,1,190.5530037314823,192.0,-0.7536438898529655,40404.35793026943,40960.0,-1.3565480218031567,0.0072412109374999966,4.598263955410428e-05,0.8973665516555525
L3_arc_eps0.05,uniform on an arc of length pi/2+0.05,16,0,11.995958089931616,12.0,-0.03368258390320141,159.9030096844685,160.0,-0.06061894720719607,0.083125,2.576053760175687e-06,0.9004098464164393
L3_arc_eps0.05,uniform on an arc of length pi/2+0.05,16,1,12.01161411102253,12.0,0.09678425852108023,160.27875639025416,160.0,0.1742227439088495,0.08360156249999998,2.9284182695943375e-06,0.900754039097199
L3_arc_eps0.05,uniform on an arc of length pi/2+0.05,64,0,48.09840696188254,48.0,0.20501450392195567,2569.4473698125958,2560.0,0.3690378833045216,0.026080078124999996,1.2417662303091154e-05,0.9008171694451172
L3_arc_eps0.05,uniform on an arc of length pi/2+0.05,64,1,48.09978203349936,48.0,0.20787923645699813,2569.579350586728,2560.0,0.3741933822940702,0.026193359374999996,1.152325531412269e-05,0.9012935427733637
L3_arc_eps0.05,uniform on an arc of length pi/2+0.05,256,0,192.5992468163147,192.0,0.3121077168305675,41190.115473778314,40960.0,0.5618053559040881,0.00718994140625,4.95316161101911e-05,0.9017183192916838
L3_arc_eps0.05,uniform on an arc of length pi/2+0.05,256,1,192.25367338513007,192.0,0.1321215547552453,41057.41485309056,40960.0,0.2378292311781216,0.007187011718749999,4.500431087467392e-05,0.9011016015630526
L4_smooth,"non-uniform density, floored, width pi/2+0.40",16,0,11.821223984740945,12.0,-1.489800127158795,155.70939963809946,160.0,-2.6816252261878404,0.08513281249999999,3.832477135939678e-06,0.8944378413212577
L4_smooth,"non-uniform density, floored, width pi/2+0.40",16,1,11.860320308769985,12.0,-1.163997426916789,156.64770833365392,160.0,-2.0951822914662976,0.08440624999999999,3.405286050800071e-06,0.8962228986691144
L4_smooth,"non-uniform density, floored, width pi/2+0.40",64,0,47.4210245217127,48.0,-1.2061989130985367,2504.418779707412,2560.0,-2.171141417679223,0.02640234375,1.7079071584856366e-05,0.895463064071677
L4_smooth,"non-uniform density, floored, width pi/2+0.40",64,1,47.216102128689116,48.0,-1.6331205652310092,2484.746110087787,2560.0,-2.9396050746958124,0.02658203125,1.2113167792154154e-05,0.8941230560880722
L4_smooth,"non-uniform density, floored, width pi/2+0.40",256,0,189.3952034888127,192.0,-1.3566648495767126,39959.76471300154,40960.0,-2.4419806811485856,0.007230468749999999,6.45877515400704e-05,0.8947704287207351
L4_smooth,"non-uniform density, floored, width pi/2+0.40",256,1,188.94566404664403,192.0,-1.5907999757062363,39787.140370485795,40960.0,-2.863426829868665,0.00724462890625,5.332122290918642e-05,0.8945327577995306
L5_irrational,atom at an irrational rotation (no density),16,0,9.813609681229659,12.0,-18.219919323086177,116.04212459339733,160.0,-27.47367212912667,0.06593749999999998,1.3924007794807236,0.8716844579915017
L5_irrational,atom at an irrational rotation (no density),16,1,9.766023108158308,12.0,-18.61647409868077,115.14149644560757,160.0,-28.036564721495267,0.06515625000000001,1.431366748260381,0.8706921649551198
L5_irrational,atom at an irrational rotation (no density),64,0,38.12169414191381,48.0,-20.579803871012903,1770.6543664024898,2560.0,-30.83381381240274,0.04296875,6.478778760321326,0.8653616075585029
L5_irrational,atom at an irrational rotation (no density),64,1,37.893906634414286,48.0,-21.05436117830357,1753.0821363808936,2560.0,-31.520229047621342,0.04304687499999998,6.674685997142653,0.8639776454542382
L5_irrational,atom at an irrational rotation (no density),256,0,149.84425180628324,192.0,-21.956118850894146,27533.80890300047,40960.0,-32.778786857909004,0.013701171875000005,28.056257907226843,0.8615271241667732
L5_irrational,atom at an irrational rotation (no density),256,1,149.5837838611509,192.0,-22.091779238983907,27453.971529751532,40960.0,-32.97370231994255,0.013554687499999999,28.264009373946543,0.8612828175400857
L6_quarter,atom at pi/2 (PERIODIC control),16,0,2.5982112693271846,12.0,-78.34823942227347,10.147410285489531,160.0,-93.65786857156903,0.03656250000000003,8.719979544612437,0.5238831518618808
L6_quarter,atom at pi/2 (PERIODIC control),16,1,2.7044478679339687,12.0,-77.4629344338836,11.105531816898464,160.0,-93.05904261443847,0.04312500000000002,8.534904626319227,0.5310793191213218
L6_quarter,atom at pi/2 (PERIODIC control),64,0,2.8783214122468084,48.0,-94.00349705781916,13.133938651552176,2560.0,-99.48695552142374,0.04304687499999998,52.050195119976436,0.3249015055255574
L6_quarter,atom at pi/2 (PERIODIC control),64,1,2.949427410190821,48.0,-93.85535956210246,14.167725138452232,2560.0,-99.44657323677922,0.04445312499999999,51.718519813706465,0.32933196516198626
L6_quarter,atom at pi/2 (PERIODIC control),256,0,2.95847416850948,192.0,-98.45912803723466,14.3636035809369,40960.0,-99.96493260844497,0.04619140624999997,239.21546302483688,0.18960925226397785
L6_quarter,atom at pi/2 (PERIODIC control),256,1,3.0038775215165847,192.0,-98.43548045754345,14.97151179248591,40960.0,-99.96344845753788,0.04609375000000003,238.82161840186805,0.19146216586331802
